N,Z,E,U(E),known,A,N-Z,N/Z
46,42,8523.9087,0.0434,1,88,4,1.0952380952380953
45,43,8389.8338,0.0466,1,88,2,1.0465116279069768
44,44,8298.0,3.0,0,88,0,1.0
43,45,8090.0,5.0,0,88,-2,0.9555555555555556
57,32,8161.0,4.0,0,89,25,1.78125
56,33,8304.0,3.0,0,89,23,1.696969696969697
55,34,8435.2799,0.0419,1,89,21,1.6176470588235294
54,35,8530.7802,0.0367,1,89,19,1.542857142857143
53,36,8614.8158,0.0241,1,89,17,1.4722222222222223
52,37,8664.1895,0.061,1,89,15,1.4054054054054055
51,38,8705.923,0.0011,1,89,13,1.3421052631578947
50,39,8714.011,0.0038,1,89,11,1.2820512820512822
49,40,8673.3865,0.0312,1,89,9,1.225
48,41,8616.8184,0.2655,1,89,7,1.170731707317073
47,42,8544.9851,0.044,1,89,5,1.119047619047619
46,43,8450.5758,0.0429,1,89,3,1.069767441860465
45,44,8340.376,0.2721,1,89,1,1.0227272727272727
44,45,8189.0,4.0,0,89,-1,0.9777777777777777
58,32,8109.0,6.0,0,90,26,1.8125
57,33,8240.0,4.0,0,90,24,1.7272727272727273
56,34,8395.7672,3.6639,1,90,22,1.6470588235294117
55,35,8478.1865,0.0373,1,90,20,1.5714285714285714
54,36,8591.2599,0.0207,1,90,18,1.5
53,37,8631.5262,0.0717,1,90,16,1.4324324324324325
52,38,8696.0043,0.0161,1,90,14,1.368421052631579
51,39,8693.3778,0.0039,1,90,12,1.3076923076923077
50,40,8709.9699,0.0013,1,90,10,1.25
49,41,8633.377,0.0369,1,90,8,1.1951219512195121
48,42,8597.0285,0.0385,1,90,6,1.1428571428571428
47,43,8483.36,0.0114,1,90,4,1.0930232558139534
46,44,8409.7684,0.0414,1,90,2,1.0454545454545454
45,45,8254.0,2.0,0,90,0,1.0
44,46,8113.0,4.0,0,90,-2,0.9565217391304348
58,33,8189.0,4.0,0,91,25,1.7575757575757576
57,34,8334.8382,4.7598,1,91,23,1.6764705882352942
56,35,8441.9242,0.0389,1,91,21,1.6
55,36,8541.7519,0.0246,1,91,19,1.5277777777777777
54,37,8607.5621,0.0857,1,91,17,1.4594594594594594
53,38,8663.8759,0.0599,1,91,15,1.394736842105263
52,39,8684.9421,0.0203,1,91,13,1.3333333333333333
51,40,8693.3149,0.0011,1,91,11,1.275
50,41,8670.8983,0.0322,1,91,9,1.2195121951219512
49,42,8613.6286,0.0686,1,91,7,1.1666666666666667
48,43,8536.6558,0.026,1,91,5,1.1162790697674418
47,44,8442.9287,0.0244,1,91,3,1.0681818181818181
46,45,8328.0,3.0,0,91,1,1.0222222222222221
45,46,8183.0,5.0,0,91,-1,0.9782608695652174
59,33,8121.0,5.0,0,92,26,1.7878787878787878
58,34,8290.0,4.0,0,92,24,1.7058823529411764
57,35,8384.9123,0.0729,1,92,22,1.6285714285714286
56,36,8512.675,0.0294,1,92,20,1.5555555555555556
55,37,8569.4225,0.0666,1,92,18,1.4864864864864864
54,38,8648.907,0.0372,1,92,16,1.4210526315789473
53,39,8661.5894,0.0992,1,92,14,1.358974358974359
52,40,8692.6783,0.0011,1,92,12,1.3
51,41,8662.3731,0.0194,1,92,10,1.2439024390243902
50,42,8657.7312,0.0017,1,92,8,1.1904761904761905
49,43,8563.544,0.0337,1,92,6,1.1395348837209303
48,44,8504.774,0.0295,1,92,4,1.0909090909090908
47,45,8373.4211,0.0476,1,92,2,1.0444444444444445
46,46,8275.5695,3.7503,1,92,0,1.0
45,47,8080.0,4.0,0,92,-2,0.9574468085106383
59,34,8225.0,4.0,0,93,25,1.7352941176470589
58,35,8345.5986,4.6324,1,93,23,1.6571428571428573
57,36,8458.1085,0.027,1,93,21,1.5833333333333333
56,37,8540.9209,0.0842,1,93,19,1.5135135135135136
55,38,8612.7875,0.0812,1,93,17,1.4473684210526316
54,39,8648.9054,0.1128,1,93,15,1.3846153846153846
53,40,8671.6207,0.0049,1,93,13,1.325
52,41,8664.1849,0.016,1,93,11,1.2682926829268293
51,42,8651.4095,0.002,1,93,9,1.2142857142857142
50,43,8608.5782,0.0109,1,93,7,1.1627906976744187
49,44,8531.4627,0.0222,1,93,5,1.1136363636363635
48,45,8434.8255,0.0283,1,93,3,1.0666666666666667
47,46,8318.5637,3.9786,1,93,1,1.0217391304347827
46,47,8175.0,4.0,0,93,-1,0.9787234042553191
60,34,8180.0,5.0,0,94,26,1.7647058823529411
59,35,8287.0,2.0,0,94,24,1.6857142857142857
58,36,8424.3318,0.1288,1,94,22,1.6111111111111112
57,37,8492.7644,0.0216,1,94,20,1.5405405405405406
56,38,8593.8344,0.0177,1,94,18,1.4736842105263157
55,39,8622.8068,0.0679,1,94,16,1.4102564102564104
54,40,8666.8016,0.0018,1,94,14,1.35
53,41,8648.9014,0.0159,1,94,12,1.2926829268292683
52,42,8662.3341,0.0015,1,94,10,1.2380952380952381
51,43,8608.7373,0.0433,1,94,8,1.186046511627907
50,44,8583.662,0.0334,1,94,6,1.1363636363636365
49,45,8472.4033,0.0359,1,94,4,1.0888888888888888
48,46,8391.6832,0.0456,1,94,2,1.0434782608695652
47,47,8238.0,4.0,0,94,0,1.0
46,48,8102.0,5.0,0,94,-2,0.9583333333333334
61,34,8112.0,5.0,0,95,27,1.7941176470588236
60,35,8245.0,3.0,0,95,25,1.7142857142857142
59,36,8365.9963,0.1961,1,95,23,1.6388888888888888
58,37,8460.1967,0.2131,1,95,21,1.5675675675675675
57,38,8549.0875,0.0612,1,95,19,1.5
56,39,8604.9644,0.0714,1,95,17,1.435897435897436
55,40,8643.5924,0.0092,1,95,15,1.375
54,41,8647.2133,0.0054,1,95,13,1.3170731707317074
53,42,8648.7212,0.0013,1,95,11,1.2619047619047619
52,43,8622.6911,0.0535,1,95,9,1.2093023255813953
51,44,8587.4706,0.1,1,95,7,1.1590909090909092
50,45,8525.3707,0.0409,1,95,5,1.1111111111111112
49,46,8428.9807,0.0319,1,95,3,1.065217391304348
48,47,8315.0,4.0,0,95,1,1.0212765957446808
47,48,8171.0,6.0,0,95,-1,0.9791666666666666
61,35,8184.0,3.0,0,96,26,1.7428571428571429
60,36,8330.8721,0.2008,1,96,24,1.6666666666666667
59,37,8408.8963,0.0349,1,96,22,1.5945945945945945
58,38,8521.2041,0.0882,1,96,20,1.5263157894736843
57,39,8569.4269,0.0633,1,96,18,1.4615384615384615
56,40,8635.3283,0.0012,1,96,16,1.4
55,41,8628.8868,0.0015,1,96,14,1.3414634146341464
54,42,8653.988,0.0013,1,96,12,1.2857142857142858
53,43,8614.8673,0.0536,1,96,10,1.2325581395348837
52,44,8609.413,0.0018,1,96,8,1.1818181818181819
51,45,8534.6735,0.1042,1,96,6,1.1333333333333333
50,46,8490.0207,0.0437,1,96,4,1.0869565217391304
49,47,8360.2903,0.9384,1,96,2,1.0425531914893618
48,48,8259.0,4.0,0,96,0,1.0
47,49,8069.0,5.0,0,96,-2,0.9591836734693877
62,35,8140.0,4.0,0,97,27,1.7714285714285714
61,36,8269.8645,1.3444,1,97,25,1.6944444444444444
60,37,8376.1872,0.0197,1,97,23,1.6216216216216217
59,38,8471.8489,0.0349,1,97,21,1.5526315789473684
58,39,8541.4616,0.0692,1,97,19,1.4871794871794872
57,40,8603.7182,0.0013,1,97,17,1.425
56,41,8623.1384,0.0438,1,97,15,1.3658536585365855
55,42,8635.0926,0.0017,1,97,13,1.3095238095238095
54,43,8623.7254,0.0425,1,97,11,1.255813953488372
53,44,8604.2799,0.0285,1,97,9,1.2045454545454546
52,45,8559.8949,0.3656,1,97,7,1.1555555555555554
51,46,8502.4303,0.0499,1,97,5,1.108695652173913
50,47,8423.2121,0.1239,1,97,3,1.0638297872340425
49,48,8310.3013,4.3317,1,97,1,1.0208333333333333
48,49,8165.0,4.0,0,97,-1,0.9795918367346939
63,35,8078.0,4.0,0,98,28,1.8
62,36,8234.0,3.0,0,98,26,1.7222222222222223
61,37,8330.7294,0.1641,1,98,24,1.6486486486486487
60,38,8445.7385,0.0329,1,98,22,1.5789473684210527
59,39,8497.6162,0.0808,1,98,20,1.5128205128205128
58,40,8581.3984,0.0862,1,98,18,1.45
57,41,8596.3016,0.051,1,98,16,1.3902439024390243
56,42,8635.1691,0.0018,1,98,14,1.3333333333333333
55,43,8610.0047,0.0345,1,98,12,1.2790697674418605
54,44,8620.314,0.0659,1,98,10,1.2272727272727273
53,45,8560.8038,0.1215,1,98,8,1.1777777777777778
52,46,8533.8999,0.0484,1,98,6,1.1304347826086956
51,47,8441.6866,0.3358,1,98,4,1.0851063829787233
50,48,8378.2953,0.5285,1,98,2,1.0416666666666667
49,49,8230.0,3.0,0,98,0,1.0
63,36,8175.0,4.0,0,99,27,1.75
62,37,8295.301,0.0407,1,99,25,1.6756756756756757
61,38,8402.5235,0.0479,1,99,23,1.605263157894737
60,39,8476.6938,0.0668,1,99,21,1.5384615384615385
59,40,8539.225,0.1061,1,99,19,1.475
58,41,8578.9859,0.1213,1,99,17,1.4146341463414633
57,42,8607.7982,0.0023,1,99,15,1.3571428571428572
56,43,8613.6105,0.0092,1,99,13,1.302325581395349
55,44,8608.7132,0.0035,1,99,11,1.25
54,45,8580.1959,0.1965,1,99,9,1.2
53,46,8537.9332,0.0516,1,99,7,1.1521739130434783
52,47,8474.7744,0.0633,1,99,5,1.1063829787234043
51,48,8398.3734,0.016,1,99,3,1.0625
50,49,8304.0,3.0,0,99,1,1.0204081632653061
49,50,8161.0,6.0,0,99,-1,0.98
64,36,8134.0,4.0,0,100,28,1.7777777777777777
63,37,8244.5085,0.1312,1,100,26,1.7027027027027026
62,38,8372.2012,0.0692,1,100,24,1.631578947368421
61,39,8439.4151,0.1118,1,100,22,1.564102564102564
60,40,8522.1066,0.0814,1,100,20,1.5
59,41,8548.4683,0.0798,1,100,18,1.4390243902439024
58,42,8604.6626,0.003,1,100,16,1.380952380952381
57,43,8595.1184,0.0135,1,100,14,1.3255813953488371
56,44,8619.3593,0.0034,1,100,12,1.2727272727272727
55,45,8575.1732,0.1813,1,100,10,1.2222222222222223
54,46,8563.5652,0.1764,1,100,8,1.173913043478261
53,47,8484.9947,0.05,1,100,6,1.127659574468085
52,48,8437.7375,0.0168,1,100,4,1.0833333333333333
51,49,8329.7495,0.0224,1,100,2,1.0408163265306123
50,50,8251.626,2.4001,1,100,0,1.0
65,36,8075.0,5.0,0,101,29,1.8055555555555556
64,37,8206.1753,0.2029,1,101,27,1.7297297297297298
63,38,8324.7411,0.084,1,101,25,1.6578947368421053
62,39,8413.3305,0.0701,1,101,23,1.5897435897435896
61,40,8485.8439,0.0825,1,101,21,1.525
60,41,8534.8355,0.0371,1,101,19,1.4634146341463414
59,42,8572.9159,0.0031,1,101,17,1.4047619047619047
58,43,8593.1366,0.2377,1,101,15,1.3488372093023255
57,44,8601.366,0.0041,1,101,13,1.2954545454545454
56,45,8588.2172,0.0578,1,101,11,1.2444444444444445
55,46,8560.8644,0.0454,1,101,9,1.1956521739130435
54,47,8512.5465,0.0479,1,101,7,1.148936170212766
53,48,8450.3657,0.0148,1,101,5,1.1041666666666667
52,49,8370.426,0.1155,1,101,3,1.0612244897959184
51,50,8281.103,2.9703,1,101,1,1.02
65,37,8152.7443,0.8128,1,102,28,1.7567567567567568
64,38,8291.2213,0.6575,1,102,26,1.6842105263157894
63,39,8371.9172,0.04,1,102,24,1.6153846153846154
62,40,8466.294,0.0859,1,102,22,1.55
61,41,8504.8675,0.0246,1,102,20,1.4878048780487805
60,42,8568.3994,0.0814,1,102,18,1.4285714285714286
59,43,8570.6514,0.0899,1,102,16,1.372093023255814
58,44,8607.4275,0.0041,1,102,14,1.3181818181818181
57,45,8576.9818,0.0628,1,102,12,1.2666666666666666
56,46,8580.2887,0.0041,1,102,10,1.2173913043478262
55,47,8517.165,0.0801,1,102,8,1.1702127659574468
54,48,8484.1322,0.0163,1,102,6,1.125
53,49,8388.5719,0.0448,1,102,4,1.0816326530612246
52,50,8324.4313,0.9814,1,102,2,1.04
51,51,8181.0,4.0,0,102,0,1.0
66,37,8112.0,4.0,0,103,29,1.7837837837837838
65,38,8242.0,2.0,0,103,27,1.7105263157894737
64,39,8342.6336,0.1088,1,103,25,1.641025641025641
63,40,8425.8337,0.0895,1,103,23,1.575
62,41,8488.332,0.0382,1,103,21,1.5121951219512195
61,42,8538.2672,0.0895,1,103,19,1.4523809523809523
60,43,8566.1045,0.0952,1,103,17,1.3953488372093024
59,44,8584.3656,0.0043,1,103,15,1.3409090909090908
58,45,8584.1927,0.0223,1,103,13,1.288888888888889
57,46,8571.0173,0.0085,1,103,11,1.2391304347826086
56,47,8537.652,0.0398,1,103,9,1.1914893617021276
55,48,8489.7547,0.0176,1,103,7,1.1458333333333333
54,49,8423.7199,0.0872,1,103,5,1.1020408163265305
53,50,8343.0,1.0,0,103,3,1.06
52,51,8234.0,3.0,0,103,1,1.0196078431372548
67,37,8057.0,5.0,0,104,30,1.8108108108108107
66,38,8206.0,3.0,0,104,28,1.736842105263158
65,39,8298.0,2.0,0,104,26,1.6666666666666667
64,40,8402.3159,0.0896,1,104,24,1.6
63,41,8453.3832,0.0172,1,104,22,1.5365853658536586
62,42,8527.9063,0.0857,1,104,20,1.4761904761904763
61,43,8541.107,0.2393,1,104,18,1.4186046511627908
60,44,8587.3998,0.024,1,104,16,1.3636363636363635
59,45,8568.9501,0.0221,1,104,14,1.3111111111111111
58,46,8584.8485,0.0129,1,104,12,1.2608695652173914
57,47,8536.185,0.0406,1,104,10,1.2127659574468086
56,48,8517.6232,0.0161,1,104,8,1.1666666666666667
55,49,8435.238,0.0555,1,104,6,1.1224489795918366
54,50,8383.9114,0.0552,1,104,4,1.08
53,51,8258.0,1.0,0,104,2,1.0392156862745099
52,52,8157.3256,3.0539,1,104,0,1.0
67,38,8152.0,5.0,0,105,29,1.763157894736842
66,39,8262.0,4.0,0,105,27,1.6923076923076923
65,40,8358.598,0.1153,1,105,25,1.625
64,41,8431.6925,0.0384,1,105,23,1.5609756097560976
63,42,8494.863,0.0862,1,105,21,1.5
62,43,8534.6074,0.3358,1,105,19,1.441860465116279
61,44,8561.9016,0.0238,1,105,17,1.3863636363636365
60,45,8572.7053,0.0238,1,105,15,1.3333333333333333
59,46,8570.6509,0.0108,1,105,13,1.2826086956521738
58,47,8550.3708,0.0433,1,105,11,1.2340425531914894
57,48,8516.8532,0.0133,1,105,9,1.1875
56,49,8464.7045,0.0976,1,105,7,1.1428571428571428
55,50,8397.229,0.0378,1,105,5,1.1
54,51,8300.9923,0.2079,1,105,3,1.0588235294117647
53,52,8186.8368,2.8573,1,105,1,1.0192307692307692
68,38,8114.0,6.0,0,106,30,1.7894736842105263
67,39,8215.0,5.0,0,106,28,1.7179487179487178
66,40,8330.0,2.0,0,106,26,1.65
65,41,8393.2657,0.0134,1,106,24,1.5853658536585367
64,42,8479.5202,0.0861,1,106,22,1.5238095238095237
63,43,8506.557,0.1156,1,106,20,1.4651162790697674
62,44,8560.9406,0.0509,1,106,18,1.4090909090909092
61,45,8553.9317,0.0508,1,106,16,1.3555555555555556
60,46,8579.9934,0.0104,1,106,14,1.3043478260869565
59,47,8544.6397,0.0285,1,106,12,1.2553191489361701
58,48,8539.0492,0.0104,1,106,10,1.2083333333333333
57,49,8470.1213,0.1153,1,106,8,1.163265306122449
56,50,8432.0383,0.048,1,106,6,1.12
55,51,8322.0124,0.0703,1,106,4,1.0784313725490196
54,52,8236.7682,0.9485,1,106,2,1.0384615384615385
53,53,8089.0,4.0,0,106,0,1.0
69,38,8057.0,7.0,0,107,31,1.8157894736842106
68,39,8178.0,5.0,0,107,29,1.7435897435897436
67,40,8284.0,3.0,0,107,27,1.675
66,41,8367.0898,0.075,1,107,25,1.6097560975609757
65,42,8442.219,0.0862,1,107,23,1.5476190476190477
64,43,8492.8979,0.0811,1,107,21,1.4883720930232558
63,44,8533.3676,0.0811,1,107,19,1.4318181818181819
62,45,8554.104,0.1126,1,107,17,1.3777777777777778
61,46,8560.8946,0.0112,1,107,15,1.326086956521739
60,47,8553.9012,0.0223,1,107,13,1.2765957446808511
59,48,8533.3524,0.0155,1,107,11,1.2291666666666667
58,49,8494.0439,0.0902,1,107,9,1.183673469387755
57,50,8439.4946,0.0496,1,107,7,1.14
56,51,8358.7344,0.0388,1,107,5,1.0980392156862746
55,52,8258.0,1.0,0,107,3,1.0576923076923077
54,53,8146.0,3.0,0,107,1,1.0188679245283019
69,39,8129.0,6.0,0,108,30,1.7692307692307692
68,40,8253.0,4.0,0,108,28,1.7
67,41,8325.6604,0.0763,1,108,26,1.6341463414634145
66,42,8422.1581,0.0854,1,108,24,1.5714285714285714
65,43,8462.8172,0.0812,1,108,22,1.5116279069767442
64,44,8527.2267,0.0804,1,108,20,1.4545454545454546
63,45,8532.6657,0.1296,1,108,18,1.4
62,46,8567.0241,0.0103,1,108,16,1.3478260869565217
61,47,8542.0262,0.0221,1,108,14,1.297872340425532
60,48,8550.0196,0.0104,1,108,12,1.25
59,49,8495.2516,0.08,1,108,10,1.2040816326530612
58,50,8469.0273,0.0498,1,108,8,1.16
57,51,8372.6666,0.0509,1,108,6,1.1176470588235294
56,52,8303.7221,0.0501,1,108,4,1.0769230769230769
55,53,8176.0,1.0,0,108,2,1.0377358490566038
54,54,8074.8886,3.5139,1,108,0,1.0
70,39,8089.0,6.0,0,109,31,1.794871794871795
69,40,8204.0,5.0,0,109,29,1.725
68,41,8297.1307,3.9524,1,109,27,1.6585365853658536
67,42,8381.4163,0.1026,1,109,25,1.5952380952380953
66,43,8444.1796,0.0887,1,109,23,1.5348837209302326
65,44,8496.228,0.0821,1,109,21,1.4772727272727273
64,45,8528.1404,0.0371,1,109,19,1.4222222222222223
63,46,8544.8825,0.0102,1,109,17,1.3695652173913044
62,47,8547.9155,0.0118,1,109,15,1.3191489361702127
61,48,8538.7646,0.0141,1,109,13,1.2708333333333333
60,49,8513.1027,0.0364,1,109,11,1.2244897959183674
59,50,8470.5183,0.0729,1,109,9,1.18
58,51,8404.8161,0.0483,1,109,7,1.1372549019607843
57,52,8319.3305,0.0402,1,109,5,1.0961538461538463
56,53,8220.0164,0.0617,1,109,3,1.0566037735849056
55,54,8107.3071,2.7533,1,109,1,1.0185185185185186
70,40,8171.0,5.0,0,110,30,1.75
69,41,8255.2607,7.6213,1,110,28,1.6829268292682926
68,42,8359.293,0.2202,1,110,26,1.619047619047619
67,43,8411.2603,0.0863,1,110,24,1.558139534883721
66,44,8486.3123,0.0811,1,110,22,1.5
65,45,8504.2551,0.1619,1,110,20,1.4444444444444444
64,46,8547.163,0.0056,1,110,18,1.391304347826087
63,47,8532.1089,0.0117,1,110,16,1.3404255319148937
62,48,8551.2755,0.0035,1,110,14,1.2916666666666667
61,49,8508.9087,0.105,1,110,12,1.2448979591836735
60,50,8496.0875,0.1252,1,110,10,1.2
59,51,8412.6821,0.0542,1,110,8,1.1568627450980393
58,52,8358.116,0.0598,1,110,6,1.1153846153846154
57,53,8244.0767,0.5631,1,110,4,1.0754716981132075
56,54,8159.2808,0.9181,1,110,2,1.037037037037037
71,40,8118.0,5.0,0,111,31,1.775
70,41,8223.0,3.0,0,111,29,1.7073170731707317
69,42,8315.2932,0.1133,1,111,27,1.6428571428571428
68,43,8390.0906,0.0953,1,111,25,1.5813953488372092
67,44,8452.9582,0.0872,1,111,23,1.5227272727272727
66,45,8495.6267,0.0617,1,111,21,1.4666666666666666
65,46,8521.7498,0.0066,1,111,19,1.4130434782608696
64,47,8534.7878,0.0131,1,111,17,1.3617021276595744
63,48,8537.0801,0.0032,1,111,15,1.3125
62,49,8522.2824,0.0308,1,111,13,1.2653061224489797
61,50,8493.131,0.0481,1,111,11,1.22
60,51,8440.1203,0.0797,1,111,9,1.1764705882352942
59,52,8367.7635,0.0579,1,111,7,1.1346153846153846
58,53,8282.9343,0.0428,1,111,5,1.0943396226415094
57,54,8182.0,1.0,0,111,3,1.0555555555555556
56,55,8070.0,2.0,0,111,1,1.018181818181818
72,40,8081.0,6.0,0,112,32,1.8
71,41,8178.0,3.0,0,112,30,1.7317073170731707
70,42,8291.0,2.0,0,112,28,1.6666666666666667
69,43,8353.6217,0.0492,1,112,26,1.6046511627906976
68,44,8439.2431,0.0857,1,112,24,1.5454545454545454
67,45,8468.8666,0.3936,1,112,22,1.488888888888889
66,46,8520.7205,0.0584,1,112,20,1.434782608695652
65,47,8516.0807,0.0216,1,112,18,1.3829787234042554
64,48,8544.7306,0.0022,1,112,16,1.3333333333333333
63,49,8514.6674,0.038,1,112,14,1.2857142857142858
62,50,8513.6189,0.0026,1,112,12,1.24
61,51,8443.633,0.1592,1,112,10,1.196078431372549
60,52,8400.6527,0.0749,1,112,8,1.1538461538461537
59,53,8299.8801,0.0915,1,112,6,1.1132075471698113
58,54,8230.0646,0.074,1,112,4,1.0740740740740742
57,55,8102.0,1.0,0,112,2,1.0363636363636364
73,40,8027.0,3.0,0,113,33,1.825
72,41,8143.0,4.0,0,113,31,1.7560975609756098
71,42,8246.0,3.0,0,113,29,1.6904761904761905
70,43,8329.4652,0.0297,1,113,27,1.627906976744186
69,44,8402.6857,0.3388,1,113,25,1.5681818181818181
68,45,8456.8165,0.0631,1,113,23,1.511111111111111
67,46,8492.5795,0.0615,1,113,21,1.4565217391304348
66,47,8516.066,0.1473,1,113,19,1.4042553191489362
65,48,8526.9874,0.0022,1,113,17,1.3541666666666667
64,49,8522.9297,0.0017,1,113,15,1.3061224489795917
63,50,8506.8117,0.0139,1,113,13,1.26
62,51,8465.2762,0.1521,1,113,11,1.2156862745098038
61,52,8404.6366,0.2473,1,113,9,1.1730769230769231
60,53,8333.7528,0.0709,1,113,7,1.1320754716981132
59,54,8247.9277,0.0605,1,113,5,1.0925925925925926
58,55,8148.623,0.0759,1,113,3,1.0545454545454545
57,56,8035.0,3.0,0,113,1,1.0178571428571428
73,41,8097.0,4.0,0,114,32,1.7804878048780488
72,42,8219.0,3.0,0,114,30,1.7142857142857142
71,43,8290.2599,3.7995,1,114,28,1.6511627906976745
70,44,8385.3351,0.0312,1,114,26,1.5909090909090908
69,45,8426.6221,0.6277,1,114,24,1.5333333333333334
68,46,8488.0056,0.061,1,114,22,1.4782608695652173
67,47,8493.7786,0.04,1,114,20,1.425531914893617
66,48,8531.5135,0.0024,1,114,18,1.375
65,49,8511.9742,0.0027,1,114,16,1.3265306122448979
64,50,8522.5671,0.0004,1,114,14,1.28
63,51,8462.5191,0.1734,1,114,12,1.2352941176470589
62,52,8432.7885,0.2143,1,114,10,1.1923076923076923
61,53,8344.779,0.1757,1,114,8,1.150943396226415
60,54,8289.2054,0.0981,1,114,6,1.1111111111111112
59,55,8173.5711,0.7462,1,114,4,1.0727272727272728
58,56,8089.6865,0.9007,1,114,2,1.0357142857142858
74,41,8061.0,4.0,0,115,33,1.8048780487804879
73,42,8173.0,3.0,0,115,31,1.7380952380952381
72,43,8264.0,2.0,0,115,29,1.6744186046511629
71,44,8346.814,0.2188,1,115,27,1.6136363636363635
70,45,8410.6538,0.0636,1,115,25,1.5555555555555556
69,46,8457.7342,0.1178,1,115,23,1.5
68,47,8490.5553,0.1589,1,115,21,1.446808510638298
67,48,8510.7252,0.0057,1,115,19,1.3958333333333333
66,49,8516.5472,0.0003,1,115,17,1.346938775510204
65,50,8514.0702,0.0003,1,115,15,1.3
64,51,8480.9156,0.1394,1,115,13,1.2549019607843137
63,52,8431.1504,0.243,1,115,11,1.2115384615384615
62,53,8374.5651,0.2511,1,115,9,1.169811320754717
61,54,8300.9704,0.1053,1,115,7,1.1296296296296295
60,55,8216.0,1.0,0,115,5,1.0909090909090908
59,56,8116.0,2.0,0,115,3,1.0535714285714286
75,41,8012.0,3.0,0,116,34,1.829268292682927
74,42,8143.0,4.0,0,116,32,1.7619047619047619
73,43,8223.0,3.0,0,116,30,1.697674418604651
72,44,8326.884,0.0321,1,116,28,1.6363636363636365
71,45,8377.6123,0.6365,1,116,26,1.5777777777777777
70,46,8449.2755,0.0615,1,116,24,1.5217391304347827
69,47,8465.9073,0.0281,1,116,22,1.4680851063829787
68,48,8512.3511,0.0014,1,116,20,1.4166666666666667
67,49,8501.6177,0.0019,1,116,18,1.3673469387755102
66,50,8523.1166,0.0009,1,116,16,1.32
65,51,8475.8208,0.0444,1,116,14,1.2745098039215685
64,52,8455.6435,0.2087,1,116,12,1.2307692307692308
63,53,8381.2858,0.6469,1,116,10,1.1886792452830188
62,54,8336.8365,0.1122,1,116,8,1.1481481481481481
61,55,8235.0,1.0,0,116,6,1.1090909090909091
60,56,8162.0,2.0,0,116,4,1.0714285714285714
59,57,8032.0,3.0,0,116,2,1.0350877192982457
75,42,8096.0,4.0,0,117,33,1.7857142857142858
74,43,8195.0,3.0,0,117,31,1.7209302325581395
73,44,8285.5625,3.7021,1,117,29,1.6590909090909092
72,45,8359.2766,0.076,1,117,27,1.6
71,46,8416.9243,0.062,1,117,25,1.5434782608695652
70,47,8459.4515,0.116,1,117,23,1.4893617021276595
69,48,8488.974,0.0087,1,117,21,1.4375
68,49,8503.8653,0.0417,1,117,19,1.3877551020408163
67,50,8509.612,0.0041,1,117,17,1.34
66,51,8487.8981,0.0721,1,117,15,1.2941176470588236
65,52,8450.9203,0.115,1,117,13,1.25
64,53,8404.4307,0.2184,1,117,11,1.2075471698113207
